30   0   0
80   0   0
80   50   0
30   50   0
30   0   0
30   0   50
80   0   50
80   50   50
30   50   50
30   0   50
30   0   0
80   0   0
80   0   50
80   50   50
80   50   0
30   50   0
30   50   50
------------------------------------------
30.0000000000	0.0000000000	0.0000000000	
80.0000000000	0.0000000000	0.0000000000	
80.0000000000	50.0000000000	0.0000000000	
30.0000000000	50.0000000000	0.0000000000	
30.0000000000	0.0000000000	50.0000000000	
80.0000000000	0.0000000000	50.0000000000	
80.0000000000	50.0000000000	50.0000000000	
30.0000000000	50.0000000000	50.0000000000	

